idPaper_brightness,brightnessLvl,macketVARCHAR
1,1.4,On insensible possession
2,3.3,oh particular attachment
3,2.9,The books arose
4,1.2,but miles happy she
5,2.9,It building contempt
6,3.3,Suppose cottage between
7,5.6,or interest children 
8,3.5,children  unlocked no
9,4.5,Minuter him own
10,1.5, Nullam quis ante
11,3.4,Offending she contained
12,5.9,Fusce vulputate eleifend sapien
13,2.3,Delicate marianne absolute
14,2.8,In ac dui quis
15,3.9,Praesent adipiscing
16,1.2,Cras id dui. Aenean ut eros et nisl sagittis vestibulum.
17,4.6,Agreement far boy
18,4.9,otherwise rapturous incommode
19,3.1,He difficult contented
20,1.5,we determine ourselves
21,1.7,men dashwood landlord
22,4.7,me am earnestly.
23,2.3,Hour no find it park.
24,3.5,Eat welcomed any
25,3.7,husbands moderate
26,4.4,Led was misery played
27,5.1,waited almost cousin living
28,1.7,Of intention contained
29,1.6,is by middleton am
30,1.8,Principles fat stimulated
31,2.9,uncommonly considered
32,3.5,set especially prosperous
33,2.8,Sons at park
34,1.8,mr meet as fact like. 
35,1.4,Unpacked now declared
36,5.8,put you confined
37,4.9,daughter improved
38,3.7,Celebrated imprudence
39,1.5,few interested
40,3.6,especially reasonable
41,4.4,Wonder bed elinor
42,5.3,It want gave west 
43,3.1,into high no in.
44,5.8,Bringing so sociable 
45,4.8,felicity supplied mr
46,5.4,September suspicion
47,3.9,far him two acuteness perfectly.
48,2.3,Covered as an examine
49,4.3,Ye astonished friendship
50,4.9,remarkably no
