id,name,height,width
1,A0,841,1189
2,A1,594,841
3,A2,420,594
4,A3,297,420
5,A4,210,297
6,A5,148,210
7,A6,105,148
8,A7,74,105
9,A8,52,74
10,A9,37,52
11,A10,26,37
12,B0,1000,1414
13,B1,707,1000
14,B2,500,707
15,B3,353,500
16,B4,250,353
17,B5,176,250
18,B6,125,176
19,B7,88,125
20,B8,62,88
21,B9,44,62
22,B10,31,44
23,C0,917,1297
24,C1,628,917
25,C2,458,628
26,C3,324,458
27,C4,229,324
28,C5,162,229
29,C6,114,162
30,C7,81,114
31,C8,57,81
32,C9,40,57
33,C10,28,40
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
